house, sr, fl, accuracy, TP, FP, TN, FN, Precision, Recall, F
r2,1,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,1,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,1,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,1,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,1,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,2,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,2,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,2,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,2,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,2,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,3,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,3,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,3,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,3,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,3,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,4,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,4,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,4,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,4,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,4,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,5,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,5,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,5,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,5,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,5,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,10,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,10,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,10,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,10,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,10,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,30,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,30,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,30,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,30,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,30,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,60,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,60,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,60,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,60,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,60,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,300,300,nan,0.722222222222,0.197916666667,0.0364583333333,0.0434027777778,0.784905660377,0.943310657596,0.856848609681
r2,300,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,300,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,300,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,300,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,600,600,nan,0.723958333333,0.196180555556,0.0364583333333,0.0434027777778,0.78679245283,0.943438914027,0.858024691358
r2,600,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,600,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,900,900,nan,0.729166666667,0.1953125,0.0364583333333,0.0390625,0.788732394366,0.949152542373,0.861538461538
r2,900,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,900,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172
r2,1800,1800,nan,0.713541666667,0.197916666667,0.046875,0.0416666666667,0.782857142857,0.944827586207,0.85625
r2,1800,3600,nan,0.739583333333,0.166666666667,0.0416666666667,0.0520833333333,0.816091954023,0.934210526316,0.871165644172